NAME;TYPE;RATING-FOOD;RATING-SERVICE;RATING-QUALITY-PRICE;RATING-ATMOSPHERE;WHEELCHAIR ACC.;ACCEPTS RESERVATIONS;PARKING AVAILABLE;TABLES OUTSIDE;TAKE-AWAY;WI-FI;PRICES;TYPEOFFOOD;GLUTEN FREE;VEGETARIAN;SUITABLE FOR CHILDREN;SUITABLE FOR GROUPS;BUSINESS;ROMANTIC;SPECIAL_OCCASION;BREAKFAST;LUNCH;DINNER;PHONE_NUMBER;OPENING HOURS;;;;;;
RoadhouseGrill;Steakhouse;3.5;3.5;3;3;true;true;false;false;true;false;Low;Barbecue, Italian;false;false;true;true;false;false;false;false;true;true;461825493;domenica 12:00 - 15:0018:30 - 23:30 lunedì 12:00 - 15:0018:30 - 23:30 martedì 12:00 - 15:0018:30 - 23:30 mercoledì 12:00 - 15:0018:30 - 23:30 giovedì 12:00 - 15:0018:30 - 23:30 venerdì 12:00 - 15:0018:30 - 23:30 sabato 12:00 - 15:0018:30 - 23:30;ADDRESS;Italia;38121;Via del Brennero 146;Trento;MISSING
Fiorentina;Bar;3.5;4;3.5;3.5;true;false;false;true;true;false;Low;Drink, Italian;false;false;true;false;false;false;false;true;true;true;461236147;MISSING;ADDRESS;Italia;38122;Via Calepina 4;Trento;MISSING
McDonald’s;FastFood;3.5;2.5;3.5;2.5;true;false;false;false;false;false;Low;American;false;false;true;false;false;false;false;true;true;true;461390416;domenica 11:00 - 01:00 lunedì 11:00 - 01:00 martedì 11:00 - 01:00 mercoledì 11:00 - 01:00 giovedì 11:00 - 01:00 venerdì 11:00 - 01:00 sabato 11:00 - 03:00;ADDRESS;Italia;38123;Via di Madonna Bianca 5;Trento;MISSING
Subway;FastFood;3.5;3;3.5;2;true;false;false;true;false;false;Medium-High;American;false;false;true;false;false;false;false;false;true;true;3333599472;domenica 09:00 - 23:00 lunedì 09:00 - 23:00 martedì 09:00 - 23:00 mercoledì 09:00 - 23:00 giovedì 09:00 - 23:00 venerdì 09:00 - 23:00 sabato 09:00 - 23:00;ADDRESS;Italia;38122;Via Rodolfo Belenzani 43-45;Trento;MISSING
Piedicastello;Trattoria;4;4;4;4;false;true;false;false;false;false;Medium-High;Italian, Mediterranean;false;false;true;false;false;false;false;false;true;true;461230730;domenica 12:00 - 14:00 lunedì 12:00 - 14:0019:30 - 22:00 martedì 12:00 - 14:0019:30 - 22:00 mercoledì 12:00 - 14:0019:30 - 22:00 giovedì 12:00 - 14:0019:30 - 22:00 venerdì 12:00 - 14:0019:30 - 22:00 sabato 12:00 - 14:0019:30 - 22:00;ADDRESS;Italia;38122;Piazza di Piedicastello 12;Trento;MISSING
Viote;MountainHut;4.5;4;4;4.5;false;true;false;false;true;false;Medium;Italian;false;false;false;false;false;false;false;false;true;true;461948033;MISSING;ADDRESS;Italia;38123;Strada Delle Viote 6 | Monte Bondone;Trento;MISSING
Brigolina;Agritourism;4;4;4;4;true;true;false;false;false;false;Low;Italian;false;false;true;true;false;false;false;false;true;true;461947474;MISSING;ADDRESS;Italia;38123;Strada Di Candriai, 6;Trento;MISSING
Tognola;MountainHut;3.5;3.5;3.5;4;false;true;true;false;true;false;Medium-High;Italian;false;false;true;false;false;false;false;true;true;false;43968329;domenica 08:30 - 17:00 lunedì 08:30 - 17:00 martedì 08:30 - 17:00 mercoledì 08:30 - 17:00 giovedì 08:30 - 17:00 venerdì 08:30 - 17:00 sabato 08:30 - 17:00;ADDRESS;Italia;38054;Via Passo Rolle 21 | Alpe Tognola;Trento;MISSING
Maranza;MountainHut;4;3.5;3.5;4;true;true;false;false;true;false;Low;Italian;false;false;true;true;false;true;true;false;true;false;4611862232;MISSING;ADDRESS;Italia;30123;strada per maranza 23;Trento;MISSING
AllaBaracca;Trattoria;4.5;4;4;3.5;true;true;true;false;true;false;Low;Italian;false;false;true;false;false;false;false;false;true;true;461920049;lunedì 07:00 - 20:00 martedì 07:00 - 00:00 mercoledì 07:00 - 00:00 giovedì 07:00 - 00:00 venerdì 07:00 - 00:00 sabato 07:00 - 00:00;ADDRESS;Italia;38123;Via Galassa 12;Trento;Villazzano 
Planet;Pizzeria;4.5;4.5;4.5;4;false;false;false;false;false;false;Medium-High;Pizza;false;false;true;false;false;false;false;false;true;true;461390836;domenica 17:00 - 22:00 lunedì 11:00 - 14:0017:00 - 22:00 mercoledì 11:00 - 14:0017:00 - 22:00 giovedì 11:00 - 14:0017:00 - 22:00 venerdì 11:00 - 14:0017:00 - 22:00 sabato 17:00 - 22:00;ADDRESS;Italia;38123;Via Padre Eusebio Chini 33;Trento;MISSING
Crucolo;MountainHut;4;4;3.5;4;true;true;false;true;false;false;Medium-Low;Italian, European;false;false;true;true;false;true;true;true;true;true;461766093;domenica 09:00 - 22:00 lunedì 09:00 - 22:00 martedì 09:00 - 16:00 giovedì 09:00 - 22:00 venerdì 09:00 - 22:00 sabato 09:00 - 02:00;ADDRESS;Italia;38050;Loc. Val Campelle | Localita Val Campelle;Trento;MISSING
AlleGorghe;Agritourism;4.5;4.5;4.5;4.5;true;true;false;false;false;false;Medium-High;Italian, Austrian, International;true;false;true;false;false;true;true;false;true;true;461448268;domenica 18:30 - 23:0012:00 - 15:30 lunedì 18:30 - 23:00 giovedì 18:30 - 23:00 venerdì 18:30 - 23:00 sabato 18:30 - 23:0012:00 - 15:30;ADDRESS;Italia;38121;Strada Alle Gorghe 17 | Vigo Meano;Trento;MISSING
IlCappello;Osteria;4.5;4;3.5;4;false;true;false;true;false;false;Medium-Low;Italian, Mediterranean;false;false;true;false;true;true;true;false;true;true;461235850;MISSING;ADDRESS;Italia;38122;Piazzetta Bruno Lunelli 5;Trento;MISSING
DaAlbert;Pizzeria;4.5;3.5;4;3;false;false;false;false;false;false;Medium-High;Pizza;false;false;false;false;false;false;false;false;true;true;461231712;MISSING;ADDRESS;Italia;38122;Via Bernardino Bomporto, 2;Trento;MISSING
Moki;Bistro;4.5;4.5;4;4.5;true;true;false;true;true;true;Medium-Low;Italian, Mediterranean;false;false;false;false;false;false;false;false;true;false;4611822401;lunedì 11:30 - 14:30 martedì 11:30 - 14:30 18:00 - 23:00 mercoledì 11:30 - 14:30 18:00 - 23:00 giovedì 18:00 - 23:00 09:30 - 14:30 venerdì 18:00 - 23:00 11:30 - 14:30 sabato 18:00 - 23:00 09:30 – 14:30;ADDRESS;Italia;38122;Via Malpaga, 20;Trento;MISSING
AmericaGraffiti;FastFood;3.5;3.5;4;4.5;true;true;true;false;false;true;Medium-High;American;false;true;true;true;false;false;false;false;true;true;461826673;Venerdì 12–15, 18:30–01 Sabato 12–01 Domenica 12–01 Lunedì 12–15, 18:30–00 Martedì 12–15, 18:30–00 Mercoledì 12–15, 18:30–00 Giovedì 12–15, 18:30–00;ADDRESS;Italia;38121;Via Ezio Maccani 191/d;Trento;MISSING
